Job Title,Company,Location,Salary Estimate,Job Description,Job Age
AI Solutions Engineer,Siemens Energy,"Richland, MS",$74K - $95K (Glassdoor est.),"Bachelor’s or Master’s degree in Data Science, Computer Science, Industrial Engineering, Applied Mathematics, or related field. Paid Time Off and paid holidays.&hellip;
      
        Skills: Power BI, Tableau, SQL, Requirements analysis, Quality inspection",4d
Engineer Race Strategy,Toyota North America,"Salisbury, NC",$73K - $98K (Glassdoor est.),"Bachelor's degree in Engineering, Statistics, Data Science, or a related field. Experience developing or utilizing strategy tools in NASCAR.&hellip;
      
        Skills: TensorFlow, MATLAB, Rust (programming language), Research, C++",6d
"Machine Learning Engineer, ML Flywheel",Waymo,"Mountain View, CA",$136K - $173K (Employer provided),"Bachelor's degree in Computer Science, Engineering, or related field, and 2+ years equivalent experience. Collaborate with ML modeling teams in understanding…&hellip;
      
        Skills: C++, Distributed systems, Python, Debugging",30d+
"ML Engineer, Foundation Model Infrastructure",Waymo,"Mountain View, CA",$204K - $259K (Employer provided),"Masters degree in Computer Science, Machine Learning, Robotics, similar technical field of study, or equivalent practical experience.&hellip;
      
        Skills: TensorFlow, Big data, Spark, C++, Distributed systems",3d
DEVELOPER L4,Wipro,"Tampa, FL",$60K - $135K (Employer provided),"Applicants are advised that employment in some roles may be conditioned on successful completion of a post-offer drug screening, subject to applicable state law…&hellip;
      
        Skills: Performance tuning, Azure, Software deployment, System design, Google Cloud Platform",24h
Machine Learning Engineer,Adobe,"San Jose, CA",$126K - $234K (Employer provided),"Design, develop, and deploy applications powered by predictive and generative models, with a focus on building autonomous agents and using agentic frameworks…&hellip;
      
        Skills: TensorFlow, Statistics, Software deployment, Java, SQL",30d+
Machine Learning Engineer,Adobe,"San Jose, CA",$126K - $234K (Employer provided),"B.S. or higher in Computer Science, Engineering, Mathematics or a related field, or equivalent experience. Develop scalable frameworks to evaluate the accuracy,…&hellip;
      
        Skills: Computer science, Scalability, AI, Research & development, Leadership",25d
AI Engineer,Intone Networks,Remote,#N/A,"5+ years experience in machine learning, deep learning, and data science. 5+ years Experience with cloud platforms (AWS, Azure, GCP) and MLOps practices.&hellip;
      
        Skills: Azure, Google Cloud Platform, AWS, Data science, Python",30d+
AI/ML Engineer,Intone Networks,"Boston, MA",$91K - $138K (Glassdoor est.),"Candidates are expected to have at least 5 years of relevant experience and a bachelor’s degree in computer science, engineering, physics, or a related field (…&hellip;
      
        Skills: Computer science, DevOps, Databases, Machine learning, Mentoring",13d
Architect - Gen AI ML - New York / Jersey City,Photon,"New York, NY",$79K - $276K (Employer provided),"This position is not available for independent contractors. Optimize GenAI workflows for latency, cost, and reliability using advanced prompt engineering and…&hellip;
      
        Skills: TensorFlow, Docker, PostgreSQL, Scalability, AI",17d
Sr Machine Learning Engineer,PayPal,"San Jose, CA",$160K - $237K (Employer provided),"This job will design, develop, and implement machine learning models and algorithms to solve complex problems.&hellip;
      
        Skills: TensorFlow, Azure, Google Cloud Platform, AWS, Scalability",30d+
"Research Engineer, Privacy",OpenAI,"San Francisco, CA",$380K - $445K (Employer provided),"We build essential production services, develop novel privacy-preserving techniques, and equip cross-functional engineering and research partners with the…&hellip;
      
        Skills: Usability, AI, Research & development",30d+
"Machine Learning Engineer II, Search",PlayStation,"San Mateo, CA",$187K - $281K (Employer provided),"Collaborate with cross-functional teams of technical members and non-technical members in architecture, design, and code implementations.&hellip;
      
        Skills: TensorFlow, Software deployment, Java, AWS, Scala",30d+
LMTS Machine Learning Engineer,Salesforce,"New York, NY",$173K - $286K (Employer provided),"Experience using third-party and in-house Machine learning tools and infrastructure to develop reusable, high-performing Machine Learning systems, enable fast…&hellip;
      
        Skills: TensorFlow, Customer retention, Spark, Test-driven development, SQL",4d
Google Cloud ML Engineer,Robotics Technologies,"Dallas, TX",$113K - $152K (Glassdoor est.),"Nor will ROBOTICS TECHNOLOGIES LLC require in a posting or otherwise U.S. citizenship or lawful permanent residency in the U.S. as a condition of employment…&hellip;
      
        Skills: TensorFlow, System design, Git, Docker, Team management",30d+
Sr AI/ML Engineer,Robotics Technologies,"Alpharetta, GA",$102K - $139K (Glassdoor est.),"Nor will ROBOTICS TECHNOLOGIES LLC require in a posting or otherwise U.S. citizenship or lawful permanent residency in the U.S. as a condition of employment…&hellip;
      
        Skills: Statistics, Machine learning, Scalability, AI, Leadership",30d+
ML engineer with Gen AI,Robotics Technologies,"Austin, TX",$115K - $168K (Glassdoor est.),"Stakeholder Engagement: Clearly present AI methodologies, performance results, and technical trade-offs to non-technical stakeholders and leadership.&hellip;
      
        Skills: TensorFlow, Azure, Software deployment, Google Cloud Platform, Research",30d+
AI (GenAI) Engineer,Robotics Technologies,"Palo Alto, CA",$113K - $173K (Glassdoor est.),"BS/MS in computer science, Electrical Engineering, Data Science, or a related technical field; or equivalent practical experience.&hellip;
      
        Skills: Tooling, DevOps, 5G, Spark, SQL",30d+
AI Engineer,Airwallex,"San Francisco, CA",$120K - $200K (Employer provided),"Architect and deploy AI agents using frameworks like LangChain, LlamaIndex, AutoGen, CrewAI, Semantic Kernel, and emerging OSS stacks.&hellip;
      
        Skills: TensorFlow, Software deployment, Scalability, AI",30d+
AI/ML Engineer,Lam Research,"Fremont, CA",$119K - $261K (Employer provided),"Join Lam as an AI/ML Engineer, where you will design, develop, and program methods to analyze unstructured and diverse big data and transform it into actionable…&hellip;
      
        Skills: Statistics, Big data, NoSQL, Git, Test-driven development",11d
